Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,accountant,unsure,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
2,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,the,political,chief,chief,chief,chief
3,assistant,assistant,assistant,she,assistant,assistant,assistant,assistant,assistant,assistant,assistant,she,chief,assistant,assistant,assistant,assistant,assistant,chief,blond,assistant,assistant,assistant,she,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
4,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,teacher
5,teacher,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,unsure,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter
6,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
7,assistant,assistant,unemployed,assistant,unemployed,assistant,assistant,assistant,unemployed,assistant,lawyer,assistant,assistant,assistant,lawyer,assistant,assistant,assistant,lawyer,blond,unsure,assistant,lawyer,she,assistant,assistant,assistant,unemployed,assistant,assistant,assistant,assistant,assistant
8,laborer,laborer,laborer,laborer,she,laborer,unsure,unsure,unsure,laborer,unsure,he,unsure,laborer,unsure,he,unsure,laborer,unsure,laborer,unsure,laborer,unsure,laborer,laborer,unorganized,unsure,unsure,unsure,unsure,unsure,laborer,unsure
9,designer,designer,designer,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,unsure,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,laborer,designer,designer,designer,designer,designer,designer,designer
10,cook,cook,cook,cook,cook,cook,cook,cook,clerk,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
11,clerk,clerk,clerk,unsure,clerk,unsure,clerk,clerk,clerk,she,clerk,unsure,clerk,clerk,clerk,unsure,clerk,clerk,cook,clerk,clerk,clerk,clerk,clerk,clerk,cook,clerk,clerk,clerk,clerk,clerk,she,the
12,analyst,analyst,analyst,arrogant,unsure,analyst,analyst,unsure,unsure,analyst,unsure,analyst,unsure,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,he,unsure
13,cashier,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst
14,guard,guard,guard,guard,guard,guard,guard,unsure,unsure,guard,guard,guard,hard,guard,unsure,guard,guard,guard,guard,guard,guard,guard,unsure,he,writer,guard,guard,guard,writer,guard,guard,guard,guard
15,writer,she,writer,she,writer,she,writer,writer,writer,writer,writer,unsure,writer,unsure,writer,writer,writer,writer,writer,she,writer,writer,writer,unsure,writer,writer,writer,writer,writer,she,writer,she,writer
16,lawyer,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper
17,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,unsure,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
18,cook,cook,cook,cook,cook,cook,cook,cook,dry,cook,cook,hard,she,cook,cook,cook,cook,unsure,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,unsure,cook,cook,cook,cook
19,accountant,cook,cook,accountant,arrogant,accountant,cook,accountant,dry,cook,cook,accountant,cook,accountant,cook,cook,accountant,accountant,cook,accountant,cook,accountant,cook,cook,cook,the,accountant,accountant,cook,cook,accountant,cook,cook
20,ceo,hairdresser,ceo,unsure,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,she,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,the,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo
21,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
22,carpenter,carpenter,carpenter's,carpenter,arrogant,carpenter,unsure,carpenter,unsure,carpenter,her,carpenter,unsure,carpenter,carpenter,carpenter,unknowing,the,carpenter,carpenter,unsure,carpenter,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,politician,carpenter,carpenter,carpenter,carpenter
23,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,unsure,cleaner,carpenter,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
24,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,lawyer,lawyer,unsure,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,unsure,lawyer,unsure,lawyer,political,lawyer,lawyer,lawyer,lawyer
25,counselor,counselor,lawyer,counselor,counselor,unsure,lawyer,counselor,lawyer,unsure,lawyer,unsure,unsure,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,counselor,counselor,lawyer,counselor,practical,counselor,lawyer
26,developer,developer,developer,developer,she,developer,developer,developer,teacher,developer,she,developer,teacher,developer,teacher,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,teacher,developer,developer,developer,developer
27,teacher,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,politician,teacher,developer,teacher,developer
28,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,housekeeper,manager,housekeeper
29,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
30,mover,mover,mover,mover,unsure,mover,brilliant,unsure,dry,mover,funny,unsure,hard,unsure,intelligent,mover,she,editor,mover,unsure,unsure,mover,mover,mover,mover,mover,mover,editor,editor,unsure,practical,mover,she
31,editor,editor,unsure,unsure,arrogant,unsure,unsure,unsure,unsure,unsure,funny,unsure,unsure,unsure,intelligent,unsure,he,editor,mover,editor,unsure,unsure,mover,unsure,unsure,editor,mover,unsure,unsure,unsure,unsure,unsure,he
32,lawyer,lawyer,clerk,lawyer,she,he,she,lawyer,clerk,funny,lawyer,he,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,practical,lawyer,clerk
33,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
34,farmer,farmer,unsure,farmer,unsure,farmer,unsure,dry,editor,farmer,editor,he,unsure,farmer,unsure,farmer,unsure,farmer,the,farmer,unsure,farmer,editor,farmer,editor,farmer,editor,farmer,editor,practical,unsure,farmer,unsure
35,editor,farmer,farmer,editor,farmer,unsure,farmer,editor,farmer,editor,farmer,editor,farmer,editor,farmer,unsure,farmer,unsure,farmer,editor,farmer,editor,unsure,editor,farmer,farmer,editor,unsure,editor,editor,editor,editor,farmer
36,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,unsure,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
37,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,analyst,attendant,attendant,attendant,attendant,analyst,attendant,attendant,analyst,analyst,blond,attendant,analyst,analyst,attendant,attendant,attendant,attendant,attendant,analyst,attendant,attendant,attendant,attendant
38,farmer,farmer,unsure,arrogant,unsure,unsure,unsure,dry,unsure,farmer,unsure,hard,unsure,farmer,unsure,farmer,unsure,farmer,she,unsure,unsure,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,unsure
39,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
40,guard,guard,guard,guard,cashier,guard,guard,guard,cashier,unsure,'unsure',guard,guard,guard,guard,guard,guard,guard,unsure,unsure,guard,guard,guard,guard,cashier,guard,guard,cashier,cashier,guard,cashier,guard,cashier
41,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,unsure,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
42,mover,mover,receptionist,mover,receptionist,mover,receptionist,dry,receptionist,mover,receptionist,hard,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,blond,mover,mover,old,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist
43,receptionist,receptionist,mover,receptionist,arrogant,receptionist,brilliant,receptionist,dry,receptionist,mover,receptionist,hard,receptionist,intelligent,receptionist,mover,receptionist,mover,blond,mover,receptionist,mover,receptionist,old,receptionist,receptionist,receptionist,politician,receptionist,mover,receptionist,mover
44,guard,guard,guard,guard,guard,guard,guard,dry,unsure,guard,guard,he,unsure,guard,she,guard,she,guard,unsure,guard,guard,guard,guard,guard,unsure,unsure,unsure,politician,unsure,guard,guard,guard,she
45,accountant,accountant,accountant,accountant,guard,accountant,accountant,accountant,dry,accountant,accountant,accountant,guard,accountant,guard,accountant,guard,accountant,guard,accountant,accountant,accountant,guard,accountant,accountant,accountant,guard,accountant,unsure,accountant,guard,accountant,guard
46,analyst,analyst,analyst,analyst,hairdresser,analyst,unsure,he,hairdresser,analyst,analyst,he,hairdresser,analyst,hairdresser,he,she,analyst,hairdresser,analyst,hairdresser,analyst,analyst,analyst,analyst,analyst,hairdresser,analyst,hairdresser,analyst,analyst,he,analyst
